Phase,Task
Pre-Construction/Planning,
,Permits & Approvals
,Site Survey & Soil Testing
,Develop Schedule & Budget
,Secure Insurance & Bonds
,Procure long-lead Materials
,Establish Site Safety Plan
,Pre-Construction Site Meeting
,Call 811
Site Preparation,
,Site Clearing
,Demolition
,Grading & Excavation
,Erosion Control
,Temporary Fencing
,Site Access
,Temporary Utilities
Subsurface,
,Subsurface Drainage
,Subsurface Electric
,Subsurface Plumbing
,Subsurface Gas
,Geothermal
,Backfill & Compact Soil
Foundation,
,Dig Footings
,Form Foundation (Pre-MEP)
,Foundation MEP
,Form Foundation (Post-MEP)
,Pest Treatment
,Pour Concrete Slab
,Waterproofing Foundation
,Install Anchor Bolts
,Install Rebar
Framing,
,Erect Structural Framing
,Install Sheathing
,Install Roof Decking
,Frame Windows & Doors
,Install Trusses or Rafters
,Install Temporary Bracing
,Waterproofing & Air Barrier
Exterior Building,
,Masonry
,Siding
,Paint
,Gutters
,Roofing
,HVAC Install
,Fascia
,Soffit
,Trim
,Lighting
,Install Windows
Interior Building,
,Insulation
,Drywall
,Electrical Rough-in
,Plumbing Rough-in
,HVAC Rough-in
,Firewall Assembly
,Fire Taping & Caulking
,Sprinkler System Install
,"Tape, Float, & Paint (1st Coat)"
,Ceiling Grid
,Trim
,Cabinets
,Flooring
,Base Trim
,Hang Doors & Hardware
,Data Installation
,Security System Installation
,Sound System Installation
,Countertops
,Install Electrical Fixtures
,Install Plumbing Fixtures
,Install Accessories
,Final Coat Paint
,Final Clean
Paving & Parking,
,Form Concrete
,Pour Concrete
,Install Rebar
,Retaining Wall
,Stripe Parking
,Install Curb Stops
,Install Fencing
,Paint Fence
,Final Grade
,Install Sod
,Irrigation
,HydroSeed
,Landscaping
Final Systems and Testing,
,Fire Suppression Testing
,HVAC Testing & Balancing
,Energy Effiency Testing
Punchlist & Closeout,
,Conduct Walkthrough
,Final Cleaning
,Obtain Certificate of Occupancy
,Hand over Warranties & Manuals
,Final Inspection
,Substantial Completion